index,coffeeName,rating,rating_count,url,24_hours,lon,lan
25,بدون اسم . قهوة مختصة,4.1,22,https://www.google.com/maps/place/%D8%A8%D8%AF%D9%88%D9%86+%D8%A7%D8%B3%D9%85+.+%D9%82%D9%87%D9%88%D8%A9+%D9%85%D8%AE%D8%AA%D8%B5%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f0f0cd14ea0bb:0xa099dc85a6ac3bc2!8m2!3d24.5472751!4d46.7066242!16s%2Fg%2F11pv5wlg2q!19sChIJu6BO0QwPLz4RwjuspoXcmaA?authuser=0&hl=en&rclk=1,False,46.7066242,24.5472751
26,ضحى لاونج DUHA LOUNGE,4.2,245,https://www.google.com/maps/place/%D8%B6%D8%AD%D9%89+%D9%84%D8%A7%D9%88%D9%86%D8%AC+DUHA+LOUNGE%E2%80%AD/data=!4m7!3m6!1s0x3e2efd2f75e5dead:0xfa01899011853425!8m2!3d24.8027909!4d46.6947933!16s%2Fg%2F11pppy7kzz!19sChIJrd7ldS_9Lj4RJTSFEZCJAfo?authuser=0&hl=en&rclk=1,False,46.6947933,24.8027909
27,ثيم كافيه,4.3,23,https://www.google.com/maps/place/%D8%AB%D9%8A%D9%85+%D9%83%D8%A7%D9%81%D9%8A%D9%87%E2%80%AD/data=!4m7!3m6!1s0x3e2f1bca247979a3:0x5adc1b740316df79!8m2!3d24.5901176!4d46.6464823!16s%2Fg%2F11s5k0ljhk!19sChIJo3l5JMobLz4Red8WA3Qb3Fo?authuser=0&hl=en&rclk=1,False,46.6464823,24.5901176
28,كرك عزام,4.4,36,https://www.google.com/maps/place/%D9%83%D8%B1%D9%83+%D8%B9%D8%B2%D8%A7%D9%85%E2%80%AD/data=!4m7!3m6!1s0x3e2f195103d56039:0xb650ca162fe723ec!8m2!3d24.5869754!4d46.543266!16s%2Fg%2F11pz00j90d!19sChIJOWDVA1EZLz4R7CPnLxbKULY?authuser=0&hl=en&rclk=1,False,46.543266,24.5869754
29,Pretzel Maker بيرتزل ميكر,4.5,10,https://www.google.com/maps/place/Pretzel+Maker+%D8%A8%D9%8A%D8%B1%D8%AA%D8%B2%D9%84+%D9%85%D9%8A%D9%83%D8%B1%E2%80%AD/data=!4m7!3m6!1s0x3e2f058fe643bd91:0xdf52bd8a77ae5c74!8m2!3d24.6786722!4d46.7246902!16s%2Fg%2F11h__100dn!19sChIJkb1D5o8FLz4RdFyud4q9Ut8?authuser=0&hl=en&rclk=1,False,46.7246902,24.6786722
30,WAST ALQAHRA Coffee shop - كافيه وسط القاهرة,4.6,30,https://www.google.com/maps/place/WAST+ALQAHRA+Coffee+shop+-+%D9%83%D8%A7%D9%81%D9%8A%D9%87+%D9%88%D8%B3%D8%B7+%D8%A7%D9%84%D9%82%D8%A7%D9%87%D8%B1%D8%A9%E2%80%AD/data=!4m7!3m6!1s0x3e2f091e6083fd41:0xb5893b1c6c20a0d0!8m2!3d24.5916426!4d46.7587146!16s%2Fg%2F11tp3v5qh_!19sChIJQf2DYB4JLz4R0KAgbBw7ibU?authuser=0&hl=en&rclk=1,False,46.7587146,24.5916426
31,صبة شاي,4.5,6,https://www.google.com/maps/place/%D8%B5%D8%A8%D8%A9+%D8%B4%D8%A7%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2f1fa9f71b19c9:0x6960a88dc5f1dcd9!8m2!3d24.6537921!4d46.5879395!16s%2Fg%2F11tmkv9l24!19sChIJyRkb96kfLz4R2dzxxY2oYGk?authuser=0&hl=en&rclk=1,False,46.5879395,24.6537921
32,Cusina Cafe,3.8,4,https://www.google.com/maps/place/Cusina+Cafe/data=!4m7!3m6!1s0x3e2f05a3c445a131:0xbd776ed8f94d47e7!8m2!3d24.6455863!4d46.7170531!16s%2Fg%2F11t3ggtv9g!19sChIJMaFFxKMFLz4R50dN-dhud70?authuser=0&hl=en&rclk=1,False,46.7170531,24.6455863
33,Caffa coffee,3.9,67,https://www.google.com/maps/place/Caffa+coffee/data=!4m7!3m6!1s0x3e2f06c337657069:0xfd52f10246125a6f!8m2!3d24.6886218!4d46.7763036!16s%2Fg%2F11ckrcn5ts!19sChIJaXBlN8MGLz4Rb1oSRgLxUv0?authuser=0&hl=en&rclk=1,False,46.7763036,24.6886218
34,مزاج مغربي,4.3,3,https://www.google.com/maps/place/%D9%85%D8%B2%D8%A7%D8%AC+%D9%85%D8%BA%D8%B1%D8%A8%D9%8A%E2%80%AD/data=!4m7!3m6!1s0x3e2f073ce645fef1:0x4eb4f5c4c323f6a2!8m2!3d24.6915889!4d46.7751157!16s%2Fg%2F11tg9n4wh2!19sChIJ8f5F5jwHLz4RovYjw8T1tE4?authuser=0&hl=en&rclk=1,False,46.7751157,24.6915889
